abn,remuneration_quartile,reporting_period,avg_total_remuneration
99158281559,Upper middle quartile,2023 - 24,"319,000.00"
99158281559,Total workforce,2023 - 24,"347,000.00"
99158281559,Lower quartile,2023 - 24,"151,000.00"
99154937005,Lower middle quartile,2024 - 25,"119,000.00"
99154937005,Upper quartile,2023 - 24,"153,000.00"
99154937005,Upper middle quartile,2023 - 24,"114,000.00"
99154937005,Total workforce,2023 - 24,"121,000.00"
99154937005,Lower quartile,2023 - 24,"105,000.00"
99153945403,Lower middle quartile,2024 - 25,"92,000.00"
99153945403,Upper quartile,2023 - 24,"151,000.00"
99153945403,Upper middle quartile,2023 - 24,"117,000.00"
99153945403,Total workforce,2023 - 24,"105,000.00"
99153945403,Lower quartile,2023 - 24,"67,000.00"
99149302634,Lower middle quartile,2024 - 25,"73,000.00"
99149302634,Upper quartile,2023 - 24,"122,000.00"
99149302634,Upper middle quartile,2023 - 24,"77,000.00"
99149302634,Total workforce,2023 - 24,"83,000.00"
99149302634,Lower quartile,2023 - 24,"62,000.00"
99148199937,Lower quartile,2024 - 25,"85,000.00"
99148199937,Lower middle quartile,2024 - 25,"128,000.00"
99147758487,Upper quartile,2023 - 24,"229,000.00"
99147758487,Upper middle quartile,2023 - 24,"175,000.00"
99147758487,Total workforce,2023 - 24,"167,000.00"
99147758487,Lower quartile,2023 - 24,"109,000.00"
99147758487,Lower middle quartile,2024 - 25,"169,000.00"
99143964372,Lower middle quartile,2024 - 25,"85,000.00"
99143964372,Upper quartile,2023 - 24,"157,000.00"
99143964372,Upper middle quartile,2023 - 24,"111,000.00"
99143964372,Total workforce,2023 - 24,"104,000.00"
99143964372,Lower quartile,2023 - 24,"66,000.00"
99143842569,Lower middle quartile,2024 - 25,"116,000.00"
99143842569,Upper quartile,2023 - 24,"198,000.00"
99143842569,Upper middle quartile,2023 - 24,"129,000.00"
99143842569,Total workforce,2023 - 24,"127,000.00"
99143842569,Lower quartile,2023 - 24,"72,000.00"
99143579622,Lower middle quartile,2024 - 25,"92,000.00"
99143579622,Upper middle quartile,2024 - 25,"93,000.00"
