abn,remuneration_quartile,reporting_period,avg_total_remuneration
14971285209,Upper middle quartile,2023 - 24,"83,000.00"
14971285209,Total workforce,2023 - 24,"86,000.00"
14969141636,Lower middle quartile,2024 - 25,"89,000.00"
14969141636,Upper quartile,2023 - 24,"109,000.00"
14969141636,Upper middle quartile,2023 - 24,"89,000.00"
14969141636,Total workforce,2023 - 24,"86,000.00"
14969141636,Lower quartile,2023 - 24,"68,000.00"
14941679801,Lower middle quartile,2024 - 25,"84,000.00"
14940129185,Lower middle quartile,2024 - 25,"110,000.00"
14940129185,Upper quartile,2023 - 24,"236,000.00"
14940129185,Upper middle quartile,2023 - 24,"156,000.00"
14940129185,Total workforce,2023 - 24,"145,000.00"
14940129185,Lower quartile,2023 - 24,"84,000.00"
14934762147,Lower middle quartile,2024 - 25,"98,000.00"
14934762147,Upper quartile,2023 - 24,"156,000.00"
14934762147,Upper middle quartile,2024 - 25,"131,000.00"
14934762147,Total workforce,2023 - 24,"115,000.00"
14934762147,Lower quartile,2023 - 24,"75,000.00"
14818873384,Lower middle quartile,2024 - 25,"68,000.00"
14818873384,Upper quartile,2023 - 24,"144,000.00"
14818873384,Upper middle quartile,2023 - 24,"81,000.00"
14818873384,Total workforce,2023 - 24,"86,000.00"
14818873384,Lower quartile,2023 - 24,"54,000.00"
14770357359,Lower middle quartile,2024 - 25,"80,000.00"
14770357359,Upper quartile,2023 - 24,"148,000.00"
14770357359,Upper middle quartile,2023 - 24,"107,000.00"
14770357359,Total workforce,2023 - 24,"98,000.00"
14770357359,Lower quartile,2023 - 24,"61,000.00"
14754762084,Lower middle quartile,2024 - 25,"66,000.00"
14653047397,Lower middle quartile,2024 - 25,"67,000.00"
14653047397,Upper middle quartile,2024 - 25,"76,000.00"
14650323599,Lower middle quartile,2024 - 25,"88,000.00"
14650323599,Upper quartile,2023 - 24,"123,000.00"
14650323599,Upper middle quartile,2024 - 25,"98,000.00"
14650323599,Total workforce,2023 - 24,"90,000.00"
14650323599,Lower quartile,2023 - 24,"69,000.00"
14649001383,Lower middle quartile,2024 - 25,"115,000.00"
14649001383,Upper quartile,2023 - 24,"184,000.00"
14649001383,Upper middle quartile,2023 - 24,"149,000.00"
14649001383,Total workforce,2023 - 24,"133,000.00"
14649001383,Lower quartile,2023 - 24,"81,000.00"
14648429172,Lower quartile,2024 - 25,"50,000.00"
14648429172,Lower middle quartile,2024 - 25,"67,000.00"
14636229751,Lower middle quartile,2024 - 25,"141,000.00"
14636229751,Upper quartile,2023 - 24,"209,000.00"
14636229751,Upper middle quartile,2023 - 24,"165,000.00"
14636229751,Total workforce,2023 - 24,"152,000.00"
14636229751,Lower quartile,2023 - 24,"98,000.00"
14635241913,Lower middle quartile,2024 - 25,"69,000.00"
14635241913,Upper quartile,2023 - 24,"146,000.00"
14635241913,Upper middle quartile,2024 - 25,"76,000.00"
14635241913,Total workforce,2023 - 24,"81,000.00"
14635241913,Lower quartile,2023 - 24,"53,000.00"
14629981497,Lower middle quartile,2024 - 25,"77,000.00"
14629981497,Upper quartile,2023 - 24,"81,000.00"
14629981497,Upper middle quartile,2023 - 24,"76,000.00"
14629981497,Total workforce,2023 - 24,"70,000.00"
14629981497,Lower quartile,2023 - 24,"54,000.00"
14625254677,Lower middle quartile,2024 - 25,"77,000.00"
14625254677,Upper quartile,2023 - 24,"136,000.00"
14625254677,Upper middle quartile,2024 - 25,"98,000.00"
14625254677,Total workforce,2023 - 24,"90,000.00"
14625254677,Lower quartile,2023 - 24,"59,000.00"
14624325159,Lower quartile,2024 - 25,"101,000.00"
14624325159,Lower middle quartile,2024 - 25,"134,000.00"
14624325159,Upper quartile,2023 - 24,"173,000.00"
14624325159,Upper middle quartile,2023 - 24,"140,000.00"
14624325159,Total workforce,2023 - 24,"134,000.00"
14618783609,Upper quartile,2023 - 24,"191,000.00"
14618783609,Upper middle quartile,2023 - 24,"96,000.00"
14618783609,Total workforce,2023 - 24,"103,000.00"
14618783609,Lower quartile,2023 - 24,"55,000.00"
14618783609,Lower middle quartile,2023 - 24,"73,000.00"
14618509818,Lower middle quartile,2024 - 25,"79,000.00"
14618095471,Lower middle quartile,2024 - 25,"157,000.00"
14618095471,Upper quartile,2023 - 24,"306,000.00"
14618095471,Upper middle quartile,2023 - 24,"182,000.00"
14618095471,Total workforce,2023 - 24,"188,000.00"
14618095471,Lower quartile,2023 - 24,"120,000.00"
14614842063,Upper quartile,2023 - 24,"109,000.00"
14614842063,Upper middle quartile,2023 - 24,"84,000.00"
14614842063,Total workforce,2023 - 24,"80,000.00"
14614842063,Lower quartile,2023 - 24,"55,000.00"
14614842063,Lower middle quartile,2023 - 24,"74,000.00"
14605245609,Lower middle quartile,2024 - 25,"137,000.00"
14605245609,Upper middle quartile,2024 - 25,"152,000.00"
14604380092,Lower middle quartile,2024 - 25,"97,000.00"
14604380092,Upper quartile,2023 - 24,"382,000.00"
14604380092,Upper middle quartile,2023 - 24,"117,000.00"
14604380092,Total workforce,2023 - 24,"145,000.00"
14604380092,Lower quartile,2023 - 24,"8,000.00"
14601877267,Lower middle quartile,2024 - 25,"107,000.00"
14601877267,Upper quartile,2023 - 24,"164,000.00"
14601877267,Upper middle quartile,2024 - 25,"120,000.00"
14601877267,Total workforce,2023 - 24,"115,000.00"
14601877267,Lower quartile,2023 - 24,"81,000.00"
14429404939,Lower middle quartile,2024 - 25,"33,000.00"
14381178268,Lower middle quartile,2024 - 25,"88,000.00"
14381178268,Upper quartile,2023 - 24,"123,000.00"
14381178268,Upper middle quartile,2024 - 25,"101,000.00"
14381178268,Total workforce,2023 - 24,"92,000.00"
14381178268,Lower quartile,2023 - 24,"66,000.00"
14260580533,Lower middle quartile,2024 - 25,"92,000.00"
14260253412,Lower middle quartile,2024 - 25,"86,000.00"
14260253412,Upper quartile,2023 - 24,"104,000.00"
14260253412,Upper middle quartile,2023 - 24,"82,000.00"
14260253412,Total workforce,2023 - 24,"75,000.00"
14260253412,Lower quartile,2023 - 24,"42,000.00"
14211506904,Lower middle quartile,2024 - 25,"83,000.00"
14211506904,Upper quartile,2023 - 24,"135,000.00"
14211506904,Upper middle quartile,2023 - 24,"93,000.00"
14211506904,Total workforce,2023 - 24,"94,000.00"
14211506904,Lower quartile,2023 - 24,"67,000.00"
14168581548,Lower middle quartile,2024 - 25,"100,000.00"
14168581548,Upper quartile,2023 - 24,"311,000.00"
14168581548,Upper middle quartile,2023 - 24,"183,000.00"
14168581548,Total workforce,2023 - 24,"168,000.00"
14168581548,Lower quartile,2023 - 24,"69,000.00"
14163131771,Lower middle quartile,2024 - 25,"66,000.00"
14163131771,Upper quartile,2023 - 24,"90,000.00"
14163131771,Upper middle quartile,2023 - 24,"64,000.00"
14163131771,Total workforce,2023 - 24,"70,000.00"
14163131771,Lower quartile,2023 - 24,"61,000.00"
14160258328,Upper quartile,2023 - 24,"206,000.00"
14160258328,Upper middle quartile,2023 - 24,"113,000.00"
14160258328,Total workforce,2023 - 24,"122,000.00"
14160258328,Lower quartile,2023 - 24,"78,000.00"
14160258328,Lower middle quartile,2023 - 24,"93,000.00"
14158075837,Lower middle quartile,2024 - 25,"65,000.00"
14158075837,Upper quartile,2023 - 24,"100,000.00"
14158075837,Upper middle quartile,2024 - 25,"73,000.00"
14158075837,Total workforce,2023 - 24,"78,000.00"
14158075837,Lower quartile,2023 - 24,"64,000.00"
14154635319,Lower middle quartile,2024 - 25,"159,000.00"
14154635319,Upper quartile,2023 - 24,"277,000.00"
14154635319,Upper middle quartile,2023 - 24,"199,000.00"
14154635319,Total workforce,2023 - 24,"180,000.00"
14154635319,Lower quartile,2023 - 24,"102,000.00"
14149723053,Lower middle quartile,2024 - 25,"151,000.00"
14149723053,Upper quartile,2023 - 24,"621,000.00"
14149723053,Upper middle quartile,2023 - 24,"192,000.00"
14149723053,Total workforce,2023 - 24,"263,000.00"
14149723053,Lower quartile,2023 - 24,"97,000.00"
14145902272,Lower middle quartile,2024 - 25,"129,000.00"
14145902272,Upper quartile,2023 - 24,"268,000.00"
14145902272,Upper middle quartile,2023 - 24,"161,000.00"
14145902272,Total workforce,2023 - 24,"153,000.00"
14145902272,Lower quartile,2023 - 24,"79,000.00"
14142962409,Lower middle quartile,2024 - 25,"160,000.00"
14136377930,Lower middle quartile,2024 - 25,"70,000.00"
14136377930,Upper quartile,2023 - 24,"90,000.00"
14136377930,Upper middle quartile,2023 - 24,"75,000.00"
14136377930,Total workforce,2023 - 24,"73,000.00"
14136377930,Lower quartile,2023 - 24,"60,000.00"
14130240452,Upper quartile,2023 - 24,"330,000.00"
14130240452,Upper middle quartile,2023 - 24,"229,000.00"
14130240452,Total workforce,2023 - 24,"210,000.00"
14130240452,Lower quartile,2023 - 24,"112,000.00"
14130240452,Lower middle quartile,2023 - 24,"171,000.00"
14126175148,Lower middle quartile,2024 - 25,"130,000.00"
14126175148,Upper quartile,2023 - 24,"429,000.00"
14126175148,Upper middle quartile,2023 - 24,"194,000.00"
14126175148,Total workforce,2023 - 24,"208,000.00"
14126175148,Lower quartile,2023 - 24,"93,000.00"
14125123757,Upper quartile,2023 - 24,"234,000.00"
14125123757,Upper middle quartile,2023 - 24,"135,000.00"
14125123757,Total workforce,2023 - 24,"136,000.00"
14125123757,Lower quartile,2023 - 24,"76,000.00"
14125123757,Lower middle quartile,2023 - 24,"100,000.00"
14122572641,Lower middle quartile,2024 - 25,"64,000.00"
14122572641,Upper quartile,2023 - 24,"212,000.00"
14122572641,Upper middle quartile,2023 - 24,"76,000.00"
14122572641,Total workforce,2023 - 24,"98,000.00"
14122572641,Lower quartile,2023 - 24,"45,000.00"
14119426612,Lower middle quartile,2024 - 25,"101,000.00"
14119426612,Upper quartile,2023 - 24,"242,000.00"
14119426612,Upper middle quartile,2023 - 24,"135,000.00"
14119426612,Total workforce,2023 - 24,"136,000.00"
14119426612,Lower quartile,2023 - 24,"77,000.00"
14116649122,Lower middle quartile,2024 - 25,"148,000.00"
14116649122,Upper quartile,2023 - 24,"230,000.00"
14116649122,Upper middle quartile,2023 - 24,"174,000.00"
14116649122,Total workforce,2023 - 24,"172,000.00"
14116649122,Lower quartile,2023 - 24,"131,000.00"
14113771618,Lower middle quartile,2024 - 25,"71,000.00"
14113771618,Upper quartile,2023 - 24,"95,000.00"
14113771618,Upper middle quartile,2023 - 24,"77,000.00"
14113771618,Total workforce,2023 - 24,"77,000.00"
14113771618,Lower quartile,2023 - 24,"66,000.00"
14112960808,Lower middle quartile,2024 - 25,"73,000.00"
14112960808,Upper quartile,2023 - 24,"90,000.00"
14112960808,Upper middle quartile,2023 - 24,"71,000.00"
14112960808,Total workforce,2023 - 24,"74,000.00"
14112960808,Lower quartile,2023 - 24,"65,000.00"
14111187270,Upper quartile,2023 - 24,"311,000.00"
14111187270,Upper middle quartile,2023 - 24,"213,000.00"
14111187270,Total workforce,2023 - 24,"199,000.00"
14111187270,Lower quartile,2023 - 24,"111,000.00"
14111187270,Lower middle quartile,2023 - 24,"161,000.00"
14108863850,Lower middle quartile,2024 - 25,"129,000.00"
14108863850,Upper quartile,2023 - 24,"282,000.00"
14108863850,Upper middle quartile,2023 - 24,"186,000.00"
14108863850,Total workforce,2023 - 24,"168,000.00"
14108863850,Lower quartile,2023 - 24,"86,000.00"
14108556412,Lower quartile,2024 - 25,"73,000.00"
14108556412,Lower middle quartile,2024 - 25,"82,000.00"
14108556412,Upper quartile,2023 - 24,"117,000.00"
14108556412,Upper middle quartile,2023 - 24,"100,000.00"
14108556412,Total workforce,2023 - 24,"94,000.00"
14106340667,Lower middle quartile,2024 - 25,"105,000.00"
14106340667,Upper quartile,2023 - 24,"314,000.00"
14106340667,Upper middle quartile,2023 - 24,"145,000.00"
14106340667,Total workforce,2023 - 24,"161,000.00"
14106340667,Lower quartile,2023 - 24,"80,000.00"
14105426064,Lower middle quartile,2024 - 25,"94,000.00"
14105426064,Upper quartile,2023 - 24,"229,000.00"
14105426064,Upper middle quartile,2023 - 24,"134,000.00"
14105426064,Total workforce,2023 - 24,"130,000.00"
14105426064,Lower quartile,2023 - 24,"70,000.00"
14105312329,Lower middle quartile,2024 - 25,"92,000.00"
14105312329,Upper quartile,2023 - 24,"139,000.00"
14105312329,Upper middle quartile,2023 - 24,"106,000.00"
14105312329,Total workforce,2023 - 24,"103,000.00"
14105312329,Lower quartile,2023 - 24,"71,000.00"
14100541802,Lower middle quartile,2024 - 25,"58,000.00"
14100541802,Upper quartile,2023 - 24,"105,000.00"
14100541802,Upper middle quartile,2023 - 24,"74,000.00"
14100541802,Total workforce,2023 - 24,"77,000.00"
14100541802,Lower quartile,2023 - 24,"62,000.00"
14099182368,Lower quartile,2024 - 25,"99,000.00"
14099182368,Lower middle quartile,2024 - 25,"155,000.00"
14099182368,Upper quartile,2023 - 24,"225,000.00"
14099182368,Upper middle quartile,2023 - 24,"180,000.00"
14099182368,Total workforce,2023 - 24,"160,000.00"
14093531349,Lower middle quartile,2024 - 25,"83,000.00"
14093531349,Upper quartile,2023 - 24,"211,000.00"
14093531349,Upper middle quartile,2023 - 24,"101,000.00"
14093531349,Total workforce,2023 - 24,"112,000.00"
14093531349,Lower quartile,2023 - 24,"60,000.00"
14093117876,Lower middle quartile,2024 - 25,"149,000.00"
14093117876,Upper quartile,2023 - 24,"273,000.00"
14093117876,Upper middle quartile,2023 - 24,"178,000.00"
14093117876,Total workforce,2023 - 24,"173,000.00"
14093117876,Lower quartile,2023 - 24,"97,000.00"
14092499431,Lower middle quartile,2024 - 25,"190,000.00"
14092499431,Upper quartile,2023 - 24,"437,000.00"
14092499431,Upper middle quartile,2023 - 24,"268,000.00"
14092499431,Total workforce,2023 - 24,"250,000.00"
14092499431,Lower quartile,2023 - 24,"112,000.00"
14089394712,Lower middle quartile,2024 - 25,"73,000.00"
14089394712,Upper quartile,2023 - 24,"194,000.00"
14089394712,Upper middle quartile,2023 - 24,"99,000.00"
14089394712,Total workforce,2023 - 24,"110,000.00"
14089394712,Lower quartile,2023 - 24,"65,000.00"
14081364776,Lower middle quartile,2024 - 25,"84,000.00"
14081364776,Upper quartile,2023 - 24,"143,000.00"
14081364776,Upper middle quartile,2023 - 24,"97,000.00"
14081364776,Total workforce,2023 - 24,"98,000.00"
14081364776,Lower quartile,2023 - 24,"69,000.00"
14080226651,Lower middle quartile,2024 - 25,"152,000.00"
14080226651,Upper quartile,2023 - 24,"631,000.00"
14080226651,Upper middle quartile,2023 - 24,"290,000.00"
14080226651,Total workforce,2023 - 24,"285,000.00"
14080226651,Lower quartile,2023 - 24,"81,000.00"
14078417133,Lower middle quartile,2024 - 25,"122,000.00"
14078417133,Upper quartile,2023 - 24,"150,000.00"
14078417133,Upper middle quartile,2023 - 24,"137,000.00"
14078417133,Total workforce,2023 - 24,"129,000.00"
14078417133,Lower quartile,2023 - 24,"108,000.00"
14076364657,Lower quartile,2024 - 25,"62,000.00"
14076364657,Lower middle quartile,2024 - 25,"70,000.00"
14076364657,Upper quartile,2023 - 24,"137,000.00"
14076364657,Upper middle quartile,2023 - 24,"85,000.00"
14076364657,Total workforce,2023 - 24,"89,000.00"
14073311681,Upper quartile,2023 - 24,"196,000.00"
14073311681,Upper middle quartile,2023 - 24,"151,000.00"
14073311681,Total workforce,2023 - 24,"133,000.00"
14073311681,Lower quartile,2023 - 24,"72,000.00"
14073311681,Lower middle quartile,2023 - 24,"114,000.00"
14069603587,Lower middle quartile,2024 - 25,"243,000.00"
14069603587,Upper quartile,2023 - 24,"294,000.00"
14069603587,Upper middle quartile,2023 - 24,"225,000.00"
14069603587,Total workforce,2023 - 24,"225,000.00"
14069603587,Lower quartile,2023 - 24,"171,000.00"
14067969466,Lower middle quartile,2024 - 25,"100,000.00"
14067969466,Upper quartile,2023 - 24,"171,000.00"
14067969466,Upper middle quartile,2023 - 24,"118,000.00"
14067969466,Total workforce,2023 - 24,"112,000.00"
14067969466,Lower quartile,2023 - 24,"69,000.00"
14064223481,Lower middle quartile,2024 - 25,"72,000.00"
14064223481,Upper quartile,2023 - 24,"104,000.00"
14064223481,Upper middle quartile,2024 - 25,"88,000.00"
14064223481,Total workforce,2023 - 24,"77,000.00"
14064223481,Lower quartile,2023 - 24,"53,000.00"
14061161297,Lower middle quartile,2024 - 25,"133,000.00"
14061161297,Upper quartile,2023 - 24,"219,000.00"
14061161297,Upper middle quartile,2023 - 24,"158,000.00"
14061161297,Total workforce,2023 - 24,"149,000.00"
14061161297,Lower quartile,2023 - 24,"91,000.00"
14060936576,Lower middle quartile,2024 - 25,"99,000.00"
14060936576,Upper quartile,2023 - 24,"161,000.00"
14060936576,Upper middle quartile,2023 - 24,"132,000.00"
14060936576,Total workforce,2023 - 24,"116,000.00"
14060936576,Lower quartile,2023 - 24,"71,000.00"
14058280149,Lower middle quartile,2024 - 25,"92,000.00"
14058280149,Upper quartile,2023 - 24,"188,000.00"
14058280149,Upper middle quartile,2024 - 25,"115,000.00"
14058280149,Total workforce,2023 - 24,"117,000.00"
14058280149,Lower quartile,2023 - 24,"72,000.00"
14053910188,Lower quartile,2024 - 25,"76,000.00"
14053910188,Lower middle quartile,2024 - 25,"93,000.00"
14053910188,Upper quartile,2023 - 24,"187,000.00"
14053910188,Upper middle quartile,2023 - 24,"123,000.00"
14053910188,Total workforce,2023 - 24,"120,000.00"
14051931358,Lower middle quartile,2024 - 25,"63,000.00"
14051931358,Upper quartile,2023 - 24,"112,000.00"
14051931358,Upper middle quartile,2024 - 25,"67,000.00"
14051931358,Total workforce,2023 - 24,"72,000.00"
14051931358,Lower quartile,2023 - 24,"57,000.00"
14050287431,Lower middle quartile,2024 - 25,"115,000.00"
14050287431,Upper quartile,2023 - 24,"216,000.00"
14050287431,Upper middle quartile,2023 - 24,"126,000.00"
14050287431,Total workforce,2023 - 24,"135,000.00"
14050287431,Lower quartile,2023 - 24,"88,000.00"
14050095077,Lower middle quartile,2024 - 25,"75,000.00"
14050095077,Upper quartile,2023 - 24,"113,000.00"
14050095077,Upper middle quartile,2023 - 24,"82,000.00"
14050095077,Total workforce,2023 - 24,"77,000.00"
14050095077,Lower quartile,2023 - 24,"41,000.00"
14011921883,Lower middle quartile,2024 - 25,"102,000.00"
14011921883,Upper quartile,2023 - 24,"190,000.00"
14011921883,Upper middle quartile,2023 - 24,"108,000.00"
14011921883,Total workforce,2023 - 24,"118,000.00"
14011921883,Lower quartile,2023 - 24,"80,000.00"
14011062338,Lower middle quartile,2024 - 25,"74,000.00"
14011062338,Upper quartile,2023 - 24,"140,000.00"
14011062338,Upper middle quartile,2023 - 24,"84,000.00"
14011062338,Total workforce,2023 - 24,"89,000.00"
14011062338,Lower quartile,2023 - 24,"61,000.00"
14010654994,Lower middle quartile,2024 - 25,"96,000.00"
14010654994,Upper quartile,2023 - 24,"238,000.00"
14010654994,Upper middle quartile,2023 - 24,"131,000.00"
14010654994,Total workforce,2023 - 24,"137,000.00"
14010654994,Lower quartile,2023 - 24,"80,000.00"
14010160371,Lower middle quartile,2024 - 25,"88,000.00"
14010160371,Upper quartile,2023 - 24,"162,000.00"
14010160371,Upper middle quartile,2023 - 24,"126,000.00"
14010160371,Total workforce,2023 - 24,"108,000.00"
14010160371,Lower quartile,2023 - 24,"59,000.00"
14009663576,Lower middle quartile,2024 - 25,"275,000.00"
14009663576,Upper quartile,2023 - 24,"727,000.00"
14009663576,Upper middle quartile,2023 - 24,"486,000.00"
14009663576,Total workforce,2023 - 24,"465,000.00"
14009663576,Lower quartile,2023 - 24,"264,000.00"
14009543248,Lower middle quartile,2024 - 25,"68,000.00"
14009543248,Upper quartile,2023 - 24,"106,000.00"
14009543248,Upper middle quartile,2023 - 24,"75,000.00"
14009543248,Total workforce,2023 - 24,"76,000.00"
14009543248,Lower quartile,2023 - 24,"57,000.00"
14007339675,Lower middle quartile,2024 - 25,"90,000.00"
14007162647,Lower quartile,2024 - 25,"66,000.00"
14007162647,Lower middle quartile,2024 - 25,"70,000.00"
14007162647,Upper quartile,2023 - 24,"120,000.00"
14007162647,Upper middle quartile,2023 - 24,"66,000.00"
14007162647,Total workforce,2023 - 24,"73,000.00"
14007145637,Lower middle quartile,2024 - 25,"247,000.00"
14005304432,Lower middle quartile,2024 - 25,"92,000.00"
14005304432,Upper quartile,2023 - 24,"124,000.00"
14005304432,Upper middle quartile,2023 - 24,"104,000.00"
14005304432,Total workforce,2023 - 24,"94,000.00"
14005304432,Lower quartile,2023 - 24,"59,000.00"
14004595395,Lower quartile,2024 - 25,"77,000.00"
14004595395,Lower middle quartile,2024 - 25,"111,000.00"
14004595395,Upper quartile,2023 - 24,"151,000.00"
14004595395,Upper middle quartile,2023 - 24,"109,000.00"
14004595395,Total workforce,2023 - 24,"105,000.00"
14004519617,Lower middle quartile,2024 - 25,"95,000.00"
14004519617,Upper quartile,2023 - 24,"166,000.00"
14004519617,Upper middle quartile,2023 - 24,"111,000.00"
14004519617,Total workforce,2023 - 24,"111,000.00"
14004519617,Lower quartile,2023 - 24,"75,000.00"
14004332496,Lower middle quartile,2024 - 25,"81,000.00"
14004332496,Upper quartile,2023 - 24,"160,000.00"
14004332496,Upper middle quartile,2023 - 24,"98,000.00"
14004332496,Total workforce,2023 - 24,"100,000.00"
14004332496,Lower quartile,2023 - 24,"63,000.00"
14004304956,Lower middle quartile,2024 - 25,"70,000.00"
14004304956,Upper quartile,2023 - 24,"147,000.00"
14004304956,Upper middle quartile,2023 - 24,"79,000.00"
14004304956,Total workforce,2023 - 24,"89,000.00"
14004304956,Lower quartile,2023 - 24,"60,000.00"
14004201638,Lower middle quartile,2024 - 25,"85,000.00"
14004201638,Upper quartile,2023 - 24,"147,000.00"
14004201638,Upper middle quartile,2023 - 24,"86,000.00"
14004201638,Total workforce,2023 - 24,"87,000.00"
14004201638,Lower quartile,2023 - 24,"52,000.00"
14003348730,Lower middle quartile,2024 - 25,"115,000.00"
14003348730,Upper quartile,2023 - 24,"279,000.00"
14003348730,Upper middle quartile,2023 - 24,"150,000.00"
14003348730,Total workforce,2023 - 24,"155,000.00"
14003348730,Lower quartile,2023 - 24,"79,000.00"
14003209836,Lower middle quartile,2024 - 25,"89,000.00"
14002967231,Lower middle quartile,2024 - 25,"79,000.00"
14002967231,Upper quartile,2023 - 24,"111,000.00"
14002967231,Upper middle quartile,2024 - 25,"90,000.00"
14002967231,Total workforce,2023 - 24,"79,000.00"
14002967231,Lower quartile,2023 - 24,"61,000.00"
14002318836,Lower middle quartile,2024 - 25,"81,000.00"
14002318836,Upper quartile,2023 - 24,"132,000.00"
14002318836,Upper middle quartile,2023 - 24,"80,000.00"
14002318836,Total workforce,2023 - 24,"89,000.00"
14002318836,Lower quartile,2023 - 24,"68,000.00"
14001526656,Lower middle quartile,2024 - 25,"79,000.00"
14001526656,Upper quartile,2023 - 24,"118,000.00"
14001526656,Upper middle quartile,2023 - 24,"90,000.00"
14001526656,Total workforce,2023 - 24,"90,000.00"
14001526656,Lower quartile,2023 - 24,"70,000.00"
14001375186,Lower middle quartile,2024 - 25,"89,000.00"
14001375186,Upper quartile,2023 - 24,"86,000.00"
14001375186,Upper middle quartile,2023 - 24,"81,000.00"
14001375186,Total workforce,2023 - 24,"81,000.00"
14001375186,Lower quartile,2023 - 24,"78,000.00"
14000173508,Lower middle quartile,2024 - 25,"195,000.00"
14000173508,Upper quartile,2023 - 24,"450,000.00"
14000173508,Upper middle quartile,2023 - 24,"259,000.00"
14000173508,Total workforce,2023 - 24,"261,000.00"
14000173508,Lower quartile,2023 - 24,"132,000.00"
14000025267,Lower middle quartile,2024 - 25,"107,000.00"
14000025267,Upper quartile,2023 - 24,"222,000.00"
14000025267,Upper middle quartile,2023 - 24,"136,000.00"
14000025267,Total workforce,2023 - 24,"136,000.00"
14000025267,Lower quartile,2023 - 24,"79,000.00"
13976018396,Upper quartile,2023 - 24,"113,000.00"
13976018396,Upper middle quartile,2023 - 24,"76,000.00"
13976018396,Total workforce,2023 - 24,"78,000.00"
13976018396,Lower quartile,2023 - 24,"58,000.00"
13976018396,Lower middle quartile,2023 - 24,"67,000.00"
13962480979,Lower middle quartile,2024 - 25,"35,000.00"
13962480979,Upper quartile,2023 - 24,"79,000.00"
13962480979,Upper middle quartile,2023 - 24,"47,000.00"
13962480979,Total workforce,2023 - 24,"46,000.00"
13962480979,Lower quartile,2023 - 24,"27,000.00"
13937359780,Lower middle quartile,2024 - 25,"98,000.00"
13937359780,Upper quartile,2023 - 24,"154,000.00"
13937359780,Upper middle quartile,2023 - 24,"124,000.00"
13937359780,Total workforce,2023 - 24,"111,000.00"
13937359780,Lower quartile,2023 - 24,"72,000.00"
13720984863,Lower middle quartile,2024 - 25,"80,000.00"
13720984863,Upper middle quartile,2024 - 25,"87,000.00"
13679821382,Lower middle quartile,2024 - 25,"129,000.00"
13668345421,Lower middle quartile,2024 - 25,"113,000.00"
13668345421,Upper quartile,2023 - 24,"244,000.00"
13668345421,Upper middle quartile,2023 - 24,"158,000.00"
13668345421,Total workforce,2023 - 24,"144,000.00"
13668345421,Lower quartile,2023 - 24,"72,000.00"
13667167777,Lower quartile,2024 - 25,"56,000.00"
13667167777,Lower middle quartile,2024 - 25,"66,000.00"
13667167777,Upper quartile,2023 - 24,"131,000.00"
13667167777,Upper middle quartile,2023 - 24,"78,000.00"
13667167777,Total workforce,2023 - 24,"81,000.00"
13662768667,Lower middle quartile,2024 - 25,"167,000.00"
13662768667,Upper quartile,2023 - 24,"304,000.00"
13662768667,Upper middle quartile,2023 - 24,"245,000.00"
13662768667,Total workforce,2023 - 24,"219,000.00"
13662768667,Lower quartile,2023 - 24,"132,000.00"
13660509928,Lower middle quartile,2024 - 25,"92,000.00"
13660509928,Upper quartile,2023 - 24,"173,000.00"
13660509928,Upper middle quartile,2023 - 24,"127,000.00"
13660509928,Total workforce,2023 - 24,"117,000.00"
13660509928,Lower quartile,2023 - 24,"65,000.00"
13652937249,Lower middle quartile,2024 - 25,"105,000.00"
13652937249,Upper quartile,2023 - 24,"128,000.00"
13652937249,Upper middle quartile,2023 - 24,"107,000.00"
13652937249,Total workforce,2023 - 24,"108,000.00"
13652937249,Lower quartile,2023 - 24,"95,000.00"
13637117938,Lower quartile,2024 - 25,"116,000.00"
13637117938,Lower middle quartile,2024 - 25,"147,000.00"
13637117938,Upper quartile,2023 - 24,"153,000.00"
13637117938,Upper middle quartile,2023 - 24,"118,000.00"
13637117938,Total workforce,2023 - 24,"113,000.00"
13629780543,Lower middle quartile,2024 - 25,"184,000.00"
13629780543,Upper quartile,2023 - 24,"288,000.00"
13629780543,Upper middle quartile,2023 - 24,"221,000.00"
13629780543,Total workforce,2023 - 24,"206,000.00"
13629780543,Lower quartile,2023 - 24,"136,000.00"
13629018748,Lower middle quartile,2024 - 25,"34,000.00"
13628586699,Lower middle quartile,2024 - 25,"123,000.00"
13628586699,Upper quartile,2023 - 24,"211,000.00"
13628586699,Upper middle quartile,2023 - 24,"135,000.00"
13628586699,Total workforce,2023 - 24,"139,000.00"
13628586699,Lower quartile,2023 - 24,"96,000.00"
13626682719,Lower middle quartile,2024 - 25,"66,000.00"
13626682719,Upper quartile,2023 - 24,"90,000.00"
13626682719,Upper middle quartile,2023 - 24,"83,000.00"
13626682719,Total workforce,2023 - 24,"80,000.00"
13626682719,Lower quartile,2023 - 24,"71,000.00"
13623475481,Lower middle quartile,2024 - 25,"88,000.00"
13623475481,Upper quartile,2023 - 24,"235,000.00"
13623475481,Upper middle quartile,2023 - 24,"128,000.00"
13623475481,Total workforce,2023 - 24,"129,000.00"
13623475481,Lower quartile,2023 - 24,"69,000.00"
13622319794,Lower middle quartile,2024 - 25,"85,000.00"
13622319794,Upper quartile,2023 - 24,"159,000.00"
13622319794,Upper middle quartile,2024 - 25,"130,000.00"
13622319794,Total workforce,2023 - 24,"110,000.00"
